siren,adresse_ligne1,adresse_ligne2,adresse_ligne3,adress_nettoyee,adresse_regex
843951435, Rue du Pré Long - Val d'Orson,,, RUE DU PRE LONG   VAL D ORSON  ,PRE$|LONG$|VAL$|ORSON$
877775007,,17 Clos du Rajol,, 17 CLOS DU RAJOL ,CLOS$|RAJOL$
827805581,,19 chemin de Creac h An Alle,, 19 CHEMIN DE CREAC H AN ALLE ,CREAC$|AN$|ALLE$
381682962,1 Chemin de la Forge,,,1 CHEMIN DE LA FORGE  ,FORGE$
388091746,295 Rue de Roberty, CHAMBERY LE VIEUX,,295 RUE DE ROBERTY  CHAMBERY LE VIEUX ,ROBERTY$|CHAMBERY$|VIEUX$
483728309,2 Rue de la Libération,,,2 RUE DE LA LIBERATION  ,LIBERATION$
797542974,16 Boulevard Notre Dame,,,16 BOULEVARD NOTRE DAME  ,DAME$
833409337,6 rue de Berri,,,6 RUE DE BERRI  ,BERRI$
332110097,420 Rue d'Estienne d'Orves,,,420 RUE D ESTIENNE D ORVES  ,ESTIENNE$|ORVES$
788903722,,3B rue de Pulbuec,, 3B RUE DE PULBUEC ,PULBUEC$
823929146,145 avenue Jean Jaurès,,,145 AVENUE JEAN JAURES  ,JEAN$|JAURES$
331023820,,LAS BRUGUES,DURFORT LACAPELETTE, LAS BRUGUES DURFORT LACAPELETTE,LAS$|BRUGUES$|DURFORT$|LACAPELETTE$
381627827,,40 Rue Josse Hénin,, 40 RUE JOSSE HENIN ,JOSSE$|HENIN$
801310392,13 rue d'Uzès,,,13 RUE D UZES  ,UZES$
832756316,28 Rue des Maraîchers,,,28 RUE DES MARAICHERS  ,MARAICHERS$
529237281,71 bis rue de Vaugirard,,,71 BIS RUE DE VAUGIRARD  ,VAUGIRARD$
844849174,369Q Avenue DE VERDUN,,,369Q AVENUE DE VERDUN  ,VERDUN$
508066735,,7 rue d'Aval,, 7 RUE D AVAL ,AVAL$
393333877,4 rue des Colonnes,,,4 RUE DES COLONNES  ,COLONNES$
452382195,ZAE Route DE PIERRELAYE - BATIMENT 5,,,ZAE ROUTE DE PIERRELAYE   BATIMENT 5  ,ZAE$|PIERRELAYE$|BATIMENT$
844244764,163 Boulevard de la Boissière,,,163 BOULEVARD DE LA BOISSIERE  ,BOISSIERE$
504023474,,20 route de Corn Er Hoet,, 20 ROUTE DE CORN ER HOET ,CORN$|ER$|HOET$
314256637,5 Avenue CHARLES DE GAULLE,,,5 AVENUE CHARLES DE GAULLE  ,CHARLES$|GAULLE$
848493094,16 Avenue du Nouveau Monde,,,16 AVENUE DU NOUVEAU MONDE  ,NOUVEAU$|MONDE$
810576553,"78 avenue de Suffren, Bât A",,,78 AVENUE DE SUFFREN  BAT A  ,SUFFREN$|BAT$
411953391,183 Avenue DU ROULE,,,183 AVENUE DU ROULE  ,ROULE$
834428328,111 Boulevard de la Madeleine,,,111 BOULEVARD DE LA MADELEINE  ,MADELEINE$
483361754,37 avenue de Villiers,,,37 AVENUE DE VILLIERS  ,VILLIERS$
878946748,20B Rue LOUIS HEMON, Appartement 221,,20B RUE LOUIS HEMON  APPARTEMENT 221 ,LOUIS$|HEMON$|APPARTEMENT$
451603849,20 Rue Clément Vienot,,,20 RUE CLEMENT VIENOT  ,CLEMENT$|VIENOT$
793902438,,15 allée des Noisetiers,, 15 ALLEE DES NOISETIERS ,ALLEE$|NOISETIERS$
479494510,152 boulevard Malesherbes,,,152 BOULEVARD MALESHERBES  ,MALESHERBES$
841612724, Avenue Nungesser et Coli, Espace Godard,Rond point de Bonneuil, AVENUE NUNGESSER ET COLI  ESPACE GODARD ROND POINT DE BONNEUIL,NUNGESSER$|COLI$|ESPACE$|GODARD$|ROND$|POINT$|BONNEUIL$
