Nom,Libellé,url,Longueur,Type,Ordre
libelleVoieEtablissement,Libellé de voie,https://www.sirene.fr/sirene/public/variable/libelleVoieEtablissement,100,Texte,16
nic,Numéro interne de classement de l'établissement,https://www.sirene.fr/sirene/public/variable/nic,5,Texte,2
nombrePeriodesEtablissement,Nombre de périodes de létablissement,https://www.sirene.fr/sirene/public/variable/nombrePeriodesEtablissement,2,Numérique,11
nomenclatureActivitePrincipaleEtablissement,Nomenclature dactivité de la variable activitePrincipaleEtablissement,https://www.sirene.fr/sirene/public/variable/nomenclatureActivitePrincipaleEtablissement,8,Liste de codes,47
numeroVoie2Etablissement,Numéro de la voie de ladresse secondaire,https://www.sirene.fr/sirene/public/variable/numeroVoie2Etablissement,4,Numérique,27
numeroVoieEtablissement,Numéro de voie,https://www.sirene.fr/sirene/public/variable/numeroVoieEtablissement,4,Numérique,13
siren,Numéro Siren,https://www.sirene.fr/sirene/public/variable/siren,9,Texte,1
siret,Numéro Siret,https://www.sirene.fr/sirene/public/variable/siret,14,Texte,3
statutDiffusionEtablissement,Statut de diffusion de létablissement,https://www.sirene.fr/sirene/public/variable/statutDiffusionEtablissement,1,Liste de codes,4
trancheEffectifsEtablissement,Tranche deffectif salarié de létablissement,https://www.sirene.fr/sirene/public/variable/trancheEffectifsEtablissement,2,Liste de codes,6
typeVoie2Etablissement,Type de voie de ladresse secondaire,https://www.sirene.fr/sirene/public/variable/typeVoie2Etablissement,4,Liste de codes,29
typeVoieEtablissement,Type de voie,https://www.sirene.fr/sirene/public/variable/typeVoieEtablissement,4,Liste de codes,15
